No,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Adult,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Alive
6240,15,C,Acer saccharum,0.103,Med,2016,Acer saccharum,561,Non-Sterile,Conspecific,AMF,AMF,2018-06-01,22.43,0.0,0.37,12.63,12.1,14,49.0,1.0,0,0
6247,15,A,Acer saccharum,0.087,Med,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,AMF,AMF,2018-06-01,17.08,0.0,0.0,13.87,12.17,14,49.0,1.0,0,0
6929,17,C,Quercus alba,0.122,High,2016,Quercus alba,1478,Non-Sterile,Conspecific,EMF,EMF,2018-06-07,9.9,37.02,5.26,21.29,18.43,33,115.5,0.0,0,1
6297,15,D,Acer saccharum,0.086,Med,2016,Populus grandidentata,1201,Non-Sterile,Heterospecific,AMF,EMF,2018-06-01,15.37,0.0,-0.03,13.92,12.05,14,49.0,1.0,0,0
6304,15,B,Acer saccharum,0.11,Med,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,AMF,AMF,2018-06-01,17.7,0.0,-0.01,13.01,12.08,14,49.0,1.0,0,0
6351,15,D,Acer saccharum,0.086,Med,2016,Acer saccharum,1330,Non-Sterile,Conspecific,AMF,AMF,2018-06-01,18.1,0.0,0.48,13.62,12.36,14,49.0,1.0,0,0
6944,17,C,Quercus rubra,0.122,High,2016,Quercus alba,415,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,20.76,35.94,3.97,21.96,17.34,33,115.5,0.0,0,1
6377,15,B,Acer saccharum,0.11,Med,2016,Acer rubrum,1326,Non-Sterile,Heterospecific,AMF,AMF,2018-06-06,17.7,0.0,-0.01,13.01,12.08,14,49.0,1.0,0,0
6946,17,C,Quercus alba,0.122,High,2016,Sterile,415,Sterile,Sterilized,EMF,Sterile,2018-06-07,15.11,19.25,4.14,19.76,20.15,19,66.5,1.0,0,0
6386,15,D,Acer saccharum,0.086,Med,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,AMF,EMF,2018-06-01,15.37,0.0,-0.03,13.92,12.05,14,49.0,1.0,0,0
6402,15,D,Acer saccharum,0.086,Med,2017,Acer rubrum,1386,Non-Sterile,Heterospecific,AMF,AMF,2018-06-01,17.06,0.0,-0.01,13.73,12.05,14,49.0,1.0,0,0
6478,15,D,Quercus rubra,0.086,Med,2017,Quercus alba,1205,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,18.65,24.37,3.71,19.82,19.29,14,49.0,1.0,0,0
6518,16,A,Acer saccharum,0.122,High,2017,Acer saccharum,275,Non-Sterile,Conspecific,AMF,AMF,2018-06-01,20.67,0.0,0.44,13.41,12.45,14,49.0,1.0,0,0
6622,16,C,Acer saccharum,0.133,High,2016,Acer saccharum,1323,Non-Sterile,Conspecific,AMF,AMF,2018-06-01,19.54,0.0,0.46,13.77,12.5,14,49.0,1.0,0,0
6638,16,C,Acer saccharum,0.133,High,2016,Populus grandidentata,277,Non-Sterile,Heterospecific,AMF,EMF,2018-06-01,13.3,0.0,-0.19,13.21,12.23,14,49.0,1.0,0,0
6967,17,A,Quercus rubra,0.095,Med,2017,Prunus serotina,689,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,25.61,27.69,3.34,24.56,14.94,33,115.5,0.0,0,1
6691,16,C,Acer saccharum,0.133,High,2016,Populus grandidentata,1201,Non-Sterile,Heterospecific,AMF,EMF,2018-06-01,13.3,0.0,-0.19,13.21,12.23,14,49.0,1.0,0,0
6726,16,D,Acer saccharum,0.133,High,2016,Acer saccharum,1330,Non-Sterile,Conspecific,AMF,AMF,2018-06-01,19.54,0.0,0.46,13.77,12.5,14,49.0,1.0,0,0
6972,17,A,Quercus alba,0.095,Med,2017,Acer rubrum,1332,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,12.59,23.8,4.68,17.67,23.69,33,115.5,0.0,0,1
6735,16,B,Acer saccharum,0.105,Med,2017,Acer saccharum,1757,Non-Sterile,Conspecific,AMF,AMF,2018-06-01,19.04,0.0,0.5,13.96,12.51,14,49.0,1.0,0,0
6738,16,B,Acer saccharum,0.105,Med,2016,Acer saccharum,561,Non-Sterile,Conspecific,AMF,AMF,2018-06-01,19.04,0.0,0.5,13.96,12.51,14,49.0,1.0,0,0
6775,16,B,Acer saccharum,0.105,Med,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,AMF,AMF,2018-06-01,16.18,0.0,-0.1,13.27,12.23,14,49.0,1.0,0,0
6811,16,B,Quercus rubra,0.105,Med,2017,Prunus serotina,0,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,25.13,27.19,3.4,24.34,15.45,14,49.0,1.0,0,0
6980,17,C,Quercus rubra,0.122,High,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,24.29,47.85,3.92,26.86,15.13,33,115.5,0.0,0,1
6823,16,B,Acer saccharum,0.105,Med,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,AMF,EMF,2018-06-01,15.35,0.0,-0.06,13.5,12.21,14,49.0,1.0,0,0
6839,16,D,Acer saccharum,0.133,High,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,AMF,EMF,2018-06-01,13.3,0.0,-0.19,13.21,12.23,14,49.0,1.0,0,0
6987,17,A,Quercus alba,0.095,Med,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,27.61,30.96,4.99,19.34,20.79,33,115.5,0.0,0,1
6907,16,D,Acer saccharum,0.133,High,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,AMF,AMF,2018-06-01,17.04,0.0,-0.1,13.25,12.26,14,49.0,1.0,0,0
6951,17,A,Acer saccharum,0.095,Med,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,AMF,EMF,2018-06-01,14.13,0.0,-0.04,13.42,12.09,14,49.0,1.0,0,0
6985,17,A,Acer saccharum,0.095,Med,2017,Populus grandidentata,118,Non-Sterile,Heterospecific,AMF,EMF,2018-06-01,14.13,0.0,-0.04,13.42,12.09,14,49.0,1.0,0,0
7095,17,A,Acer saccharum,0.095,Med,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,AMF,AMF,2018-06-01,14.43,0.0,-0.16,13.64,12.11,14,49.0,1.0,0,0
7100,17,E,Acer saccharum,0.094,Med,2017,Acer rubrum,1386,Non-Sterile,Heterospecific,AMF,AMF,2018-06-01,16.59,0.0,-0.06,13.55,12.12,14,49.0,1.0,0,0
7103,17,E,Acer saccharum,0.094,Med,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,AMF,AMF,2018-06-01,16.59,0.0,-0.06,13.55,12.12,14,49.0,1.0,0,0
7006,17,A,Quercus alba,0.095,Med,2017,Acer rubrum,50,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,12.59,23.8,4.68,17.67,23.69,33,115.5,0.0,0,1
7009,17,A,Quercus rubra,0.095,Med,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,25.81,47.83,3.81,26.89,14.77,33,115.5,0.0,0,1
7154,17,E,Quercus rubra,0.094,Med,2017,Quercus alba,1205,Non-Sterile,Heterospecific,EMF,EMF,2018-06-07,19.41,20.7,3.83,21.01,18.05,14,49.0,1.0,0,0
7012,17,C,Quercus rubra,0.122,High,2017,Acer rubrum,1332,Non-Sterile,Heterospecific,EMF,AMF,2018-06-07,17.23,36.0,3.58,23.29,16.48,33,115.5,0.0,0,1
7175,17,D,Acer saccharum,0.118,Med,2017,Acer saccharum,1757,Non-Sterile,Conspecific,AMF,AMF,2018-06-01,20.89,0.0,0.47,13.5,12.44,14,49.0,1.0,0,0
